Pair            Profit (AQUA)    My share %  % of votes    Stop at     Paid in
------------  ---------------  ------------  ------------  ----------  ------------------------
AQUA / HEX               4777          3.29  3.76 -> 3.88  2022-07-11  yAQUA: 0.81, AQUA: 0.19
AQUA / iFIDR             4721          3.29  3.76 -> 3.88  2022-07-11  FIDR: 0.90, AQUA: 0.10
AQUA / iDRA              4464          3.11  3.98 -> 4.10  2022-07-11  FIDR: 0.90, AQUA: 0.10
AQUA / SCN               4246          5.21  2.38 -> 2.50  2022-07-11  AQUA: 1.00, SCN: 0.00
HEX / USDA               4113          2.82  2.92 -> 3.00  2022-07-11  yAQUA: 0.90, AQUA: 0.10
AQUA / GBPC              3939          2.70  4.59 -> 4.71  2022-07-11  AQUA
AQUA / yAQUA             3704          2.53  4.88 -> 5.00  2022-07-11  yAQUA: 0.90, AQUA: 0.10
AQUA / GCRX              3438          6.40  1.93 -> 2.05  2022-07-11  AQUA
XLM / BTC                2893          2.70  3.05 -> 3.13  2022-07-11  USDC: 0.87, AQUA: 0.13
ETH / USDC               2630          2.45  3.36 -> 3.44  2022-07-11  USDC: 0.87, AQUA: 0.13
XLM / SDEXEX             2450          1.04  7.96 -> 8.03  2022-07-11  SDEXEX: 0.94, AQUA: 0.06
XLM / ETH                2170          2.01  4.10 -> 4.17  2022-07-11  USDC: 0.87, AQUA: 0.13
BTC / USDC               2079          1.93  4.28 -> 4.36  2022-07-11  USDC: 0.87, AQUA: 0.13
BTC / ETH                1850          2.60  3.18 -> 3.26  2022-07-11  USDC: 0.80, AQUA: 0.20
Sun Jul 10 20:19:00 WITA 2022
Pair            Profit (AQUA)    My share %  % of votes    Stop at     Paid in
------------  ---------------  ------------  ------------  ----------  ------------------------
AQUA / HEX               4777          3.29  3.76 -> 3.88  2022-07-11  yAQUA: 0.81, AQUA: 0.19
AQUA / iFIDR             4721          3.29  3.76 -> 3.88  2022-07-11  FIDR: 0.90, AQUA: 0.10
AQUA / iDRA              4464          3.11  3.98 -> 4.10  2022-07-11  FIDR: 0.90, AQUA: 0.10
AQUA / SCN               4246          5.21  2.38 -> 2.50  2022-07-11  AQUA: 1.00, SCN: 0.00
HEX / USDA               4113          2.82  2.92 -> 3.00  2022-07-11  yAQUA: 0.90, AQUA: 0.10
AQUA / GBPC              3939          2.70  4.59 -> 4.71  2022-07-11  AQUA
AQUA / yAQUA             3704          2.53  4.88 -> 5.00  2022-07-11  yAQUA: 0.90, AQUA: 0.10
AQUA / GCRX              3438          6.40  1.93 -> 2.05  2022-07-11  AQUA
XLM / BTC                2893          2.70  3.05 -> 3.13  2022-07-11  USDC: 0.87, AQUA: 0.13
ETH / USDC               2630          2.45  3.36 -> 3.44  2022-07-11  USDC: 0.87, AQUA: 0.13
XLM / SDEXEX             2450          1.04  7.96 -> 8.03  2022-07-11  SDEXEX: 0.94, AQUA: 0.06
XLM / ETH                2170          2.01  4.10 -> 4.17  2022-07-11  USDC: 0.87, AQUA: 0.13
BTC / USDC               2079          1.93  4.28 -> 4.36  2022-07-11  USDC: 0.87, AQUA: 0.13
BTC / ETH                1850          2.60  3.18 -> 3.26  2022-07-11  USDC: 0.80, AQUA: 0.20
Sun Jul 10 20:20:00 WITA 2022
Pair            Profit (AQUA)    My share %  % of votes    Stop at     Paid in
------------  ---------------  ------------  ------------  ----------  ------------------------
AQUA / HEX               4777          3.29  3.76 -> 3.88  2022-07-11  yAQUA: 0.81, AQUA: 0.19
AQUA / iFIDR             4721          3.29  3.76 -> 3.88  2022-07-11  FIDR: 0.90, AQUA: 0.10
AQUA / iDRA              4464          3.11  3.98 -> 4.10  2022-07-11  FIDR: 0.90, AQUA: 0.10
AQUA / SCN               4246          5.21  2.38 -> 2.50  2022-07-11  AQUA: 1.00, SCN: 0.00
HEX / USDA               4113          2.82  2.92 -> 3.00  2022-07-11  yAQUA: 0.90, AQUA: 0.10
AQUA / GBPC              3939          2.70  4.59 -> 4.71  2022-07-11  AQUA
AQUA / yAQUA             3704          2.53  4.88 -> 5.00  2022-07-11  yAQUA: 0.90, AQUA: 0.10
AQUA / GCRX              3438          6.40  1.93 -> 2.05  2022-07-11  AQUA
XLM / BTC                2893          2.70  3.05 -> 3.13  2022-07-11  USDC: 0.87, AQUA: 0.13
ETH / USDC               2630          2.45  3.36 -> 3.44  2022-07-11  USDC: 0.87, AQUA: 0.13
XLM / SDEXEX             2450          1.04  7.96 -> 8.03  2022-07-11  SDEXEX: 0.94, AQUA: 0.06
XLM / ETH                2170          2.01  4.10 -> 4.17  2022-07-11  USDC: 0.87, AQUA: 0.13
BTC / USDC               2079          1.93  4.28 -> 4.36  2022-07-11  USDC: 0.87, AQUA: 0.13
BTC / ETH                1850          2.60  3.18 -> 3.26  2022-07-11  USDC: 0.80, AQUA: 0.20
Sun Jul 10 20:21:00 WITA 2022
Pair            Profit (AQUA)    My share %  % of votes    Stop at     Paid in
------------  ---------------  ------------  ------------  ----------  ------------------------
AQUA / HEX               4777          3.29  3.76 -> 3.88  2022-07-11  yAQUA: 0.81, AQUA: 0.19
AQUA / iFIDR             4721          3.29  3.76 -> 3.88  2022-07-11  FIDR: 0.90, AQUA: 0.10
AQUA / iDRA              4464          3.11  3.98 -> 4.10  2022-07-11  FIDR: 0.90, AQUA: 0.10
AQUA / SCN               4246          5.21  2.38 -> 2.50  2022-07-11  AQUA: 1.00, SCN: 0.00
HEX / USDA               4113          2.82  2.92 -> 3.00  2022-07-11  yAQUA: 0.90, AQUA: 0.10
AQUA / GBPC              3939          2.70  4.59 -> 4.71  2022-07-11  AQUA
AQUA / yAQUA             3704          2.53  4.88 -> 5.00  2022-07-11  yAQUA: 0.90, AQUA: 0.10
AQUA / GCRX              3438          6.40  1.93 -> 2.05  2022-07-11  AQUA
XLM / BTC                2893          2.70  3.05 -> 3.13  2022-07-11  USDC: 0.87, AQUA: 0.13
ETH / USDC               2630          2.45  3.36 -> 3.44  2022-07-11  USDC: 0.87, AQUA: 0.13
XLM / SDEXEX             2450          1.04  7.96 -> 8.03  2022-07-11  SDEXEX: 0.94, AQUA: 0.06
XLM / ETH                2170          2.01  4.10 -> 4.17  2022-07-11  USDC: 0.87, AQUA: 0.13
BTC / USDC               2079          1.93  4.28 -> 4.36  2022-07-11  USDC: 0.87, AQUA: 0.13
BTC / ETH                1850          2.60  3.18 -> 3.26  2022-07-11  USDC: 0.80, AQUA: 0.20
Sun Jul 10 20:22:00 WITA 2022
Pair            Profit (AQUA)    My share %  % of votes    Stop at     Paid in
------------  ---------------  ------------  ------------  ----------  ------------------------
AQUA / HEX               4777          3.29  3.76 -> 3.88  2022-07-11  yAQUA: 0.81, AQUA: 0.19
AQUA / iFIDR             4721          3.29  3.76 -> 3.88  2022-07-11  FIDR: 0.90, AQUA: 0.10
AQUA / iDRA              4464          3.11  3.98 -> 4.10  2022-07-11  FIDR: 0.90, AQUA: 0.10
AQUA / SCN               4246          5.21  2.38 -> 2.50  2022-07-11  AQUA: 1.00, SCN: 0.00
HEX / USDA               4113          2.82  2.92 -> 3.00  2022-07-11  yAQUA: 0.90, AQUA: 0.10
AQUA / GBPC              3939          2.70  4.59 -> 4.71  2022-07-11  AQUA
AQUA / yAQUA             3704          2.53  4.88 -> 5.00  2022-07-11  yAQUA: 0.90, AQUA: 0.10
AQUA / GCRX              3438          6.40  1.93 -> 2.05  2022-07-11  AQUA
XLM / BTC                2893          2.70  3.05 -> 3.13  2022-07-11  USDC: 0.87, AQUA: 0.13
ETH / USDC               2630          2.45  3.36 -> 3.44  2022-07-11  USDC: 0.87, AQUA: 0.13
XLM / SDEXEX             2450          1.04  7.96 -> 8.03  2022-07-11  SDEXEX: 0.94, AQUA: 0.06
XLM / ETH                2170          2.01  4.10 -> 4.17  2022-07-11  USDC: 0.87, AQUA: 0.13
BTC / USDC               2079          1.93  4.28 -> 4.36  2022-07-11  USDC: 0.87, AQUA: 0.13
BTC / ETH                1850          2.60  3.18 -> 3.26  2022-07-11  USDC: 0.80, AQUA: 0.20
Sun Jul 10 20:23:00 WITA 2022
Pair            Profit (AQUA)    My share %  % of votes    Stop at     Paid in
------------  ---------------  ------------  ------------  ----------  ------------------------
AQUA / HEX               4777          3.29  3.76 -> 3.88  2022-07-11  yAQUA: 0.81, AQUA: 0.19
AQUA / iFIDR             4721          3.29  3.76 -> 3.88  2022-07-11  FIDR: 0.90, AQUA: 0.10
AQUA / iDRA              4464          3.11  3.98 -> 4.10  2022-07-11  FIDR: 0.90, AQUA: 0.10
AQUA / SCN               4246          5.21  2.38 -> 2.50  2022-07-11  AQUA: 1.00, SCN: 0.00
HEX / USDA               4113          2.82  2.92 -> 3.00  2022-07-11  yAQUA: 0.90, AQUA: 0.10
AQUA / GBPC              3939          2.70  4.59 -> 4.71  2022-07-11  AQUA
AQUA / yAQUA             3704          2.53  4.88 -> 5.00  2022-07-11  yAQUA: 0.90, AQUA: 0.10
AQUA / GCRX              3438          6.40  1.93 -> 2.05  2022-07-11  AQUA
XLM / BTC                2893          2.70  3.05 -> 3.13  2022-07-11  USDC: 0.87, AQUA: 0.13
ETH / USDC               2630          2.45  3.36 -> 3.44  2022-07-11  USDC: 0.87, AQUA: 0.13
XLM / SDEXEX             2450          1.04  7.96 -> 8.03  2022-07-11  SDEXEX: 0.94, AQUA: 0.06
XLM / ETH                2170          2.01  4.10 -> 4.17  2022-07-11  USDC: 0.87, AQUA: 0.13
BTC / USDC               2079          1.93  4.28 -> 4.36  2022-07-11  USDC: 0.87, AQUA: 0.13
BTC / ETH                1850          2.60  3.18 -> 3.26  2022-07-11  USDC: 0.80, AQUA: 0.20
Sun Jul 10 20:24:00 WITA 2022
Pair            Profit (AQUA)    My share %  % of votes    Stop at     Paid in
------------  ---------------  ------------  ------------  ----------  ------------------------
AQUA / HEX               4777          3.29  3.76 -> 3.88  2022-07-11  yAQUA: 0.81, AQUA: 0.19
AQUA / iFIDR             4721          3.29  3.76 -> 3.88  2022-07-11  FIDR: 0.90, AQUA: 0.10
AQUA / iDRA              4464          3.11  3.98 -> 4.10  2022-07-11  FIDR: 0.90, AQUA: 0.10
AQUA / SCN               4246          5.21  2.38 -> 2.50  2022-07-11  AQUA: 1.00, SCN: 0.00
HEX / USDA               4113          2.82  2.92 -> 3.00  2022-07-11  yAQUA: 0.90, AQUA: 0.10
AQUA / GBPC              3939          2.70  4.59 -> 4.71  2022-07-11  AQUA
AQUA / yAQUA             3704          2.53  4.88 -> 5.00  2022-07-11  yAQUA: 0.90, AQUA: 0.10
AQUA / GCRX              3438          6.40  1.93 -> 2.05  2022-07-11  AQUA
XLM / BTC                2893          2.70  3.05 -> 3.13  2022-07-11  USDC: 0.87, AQUA: 0.13
ETH / USDC               2630          2.45  3.36 -> 3.44  2022-07-11  USDC: 0.87, AQUA: 0.13
XLM / SDEXEX             2450          1.04  7.96 -> 8.03  2022-07-11  SDEXEX: 0.94, AQUA: 0.06
XLM / ETH                2170          2.01  4.10 -> 4.17  2022-07-11  USDC: 0.87, AQUA: 0.13
BTC / USDC               2079          1.93  4.28 -> 4.36  2022-07-11  USDC: 0.87, AQUA: 0.13
BTC / ETH                1850          2.60  3.18 -> 3.26  2022-07-11  USDC: 0.80, AQUA: 0.20
Sun Jul 10 20:25:00 WITA 2022
Pair            Profit (AQUA)    My share %  % of votes    Stop at     Paid in
------------  ---------------  ------------  ------------  ----------  ------------------------
AQUA / HEX               4777          3.29  3.76 -> 3.88  2022-07-11  yAQUA: 0.81, AQUA: 0.19
AQUA / iFIDR             4721          3.29  3.76 -> 3.88  2022-07-11  FIDR: 0.90, AQUA: 0.10
AQUA / iDRA              4464          3.11  3.98 -> 4.10  2022-07-11  FIDR: 0.90, AQUA: 0.10
AQUA / SCN               4246          5.21  2.38 -> 2.50  2022-07-11  AQUA: 1.00, SCN: 0.00
HEX / USDA               4113          2.82  2.92 -> 3.00  2022-07-11  yAQUA: 0.90, AQUA: 0.10
AQUA / GBPC              3939          2.70  4.59 -> 4.71  2022-07-11  AQUA
AQUA / yAQUA             3704          2.53  4.88 -> 5.00  2022-07-11  yAQUA: 0.90, AQUA: 0.10
AQUA / GCRX              3438          6.40  1.93 -> 2.05  2022-07-11  AQUA
XLM / BTC                2893          2.70  3.05 -> 3.13  2022-07-11  USDC: 0.87, AQUA: 0.13
ETH / USDC               2630          2.45  3.36 -> 3.44  2022-07-11  USDC: 0.87, AQUA: 0.13
XLM / SDEXEX             2450          1.04  7.96 -> 8.03  2022-07-11  SDEXEX: 0.94, AQUA: 0.06
XLM / ETH                2170          2.01  4.10 -> 4.17  2022-07-11  USDC: 0.87, AQUA: 0.13
BTC / USDC               2079          1.93  4.28 -> 4.36  2022-07-11  USDC: 0.87, AQUA: 0.13
BTC / ETH                1850          2.60  3.18 -> 3.26  2022-07-11  USDC: 0.80, AQUA: 0.20
Sun Jul 10 20:26:00 WITA 2022
Pair            Profit (AQUA)    My share %  % of votes    Stop at     Paid in
------------  ---------------  ------------  ------------  ----------  ------------------------
AQUA / HEX               4777          3.29  3.76 -> 3.88  2022-07-11  yAQUA: 0.81, AQUA: 0.19
AQUA / iFIDR             4721          3.29  3.76 -> 3.88  2022-07-11  FIDR: 0.90, AQUA: 0.10
AQUA / iDRA              4464          3.11  3.98 -> 4.10  2022-07-11  FIDR: 0.90, AQUA: 0.10
AQUA / SCN               4246          5.21  2.38 -> 2.50  2022-07-11  AQUA: 1.00, SCN: 0.00
HEX / USDA               4113          2.82  2.92 -> 3.00  2022-07-11  yAQUA: 0.90, AQUA: 0.10
AQUA / GBPC              3939          2.70  4.59 -> 4.71  2022-07-11  AQUA
AQUA / yAQUA             3704          2.53  4.88 -> 5.00  2022-07-11  yAQUA: 0.90, AQUA: 0.10
AQUA / GCRX              3438          6.40  1.93 -> 2.05  2022-07-11  AQUA
XLM / BTC                2893          2.70  3.05 -> 3.13  2022-07-11  USDC: 0.87, AQUA: 0.13
ETH / USDC               2630          2.45  3.36 -> 3.44  2022-07-11  USDC: 0.87, AQUA: 0.13
XLM / SDEXEX             2450          1.04  7.96 -> 8.03  2022-07-11  SDEXEX: 0.94, AQUA: 0.06
XLM / ETH                2170          2.01  4.10 -> 4.17  2022-07-11  USDC: 0.87, AQUA: 0.13
BTC / USDC               2079          1.93  4.28 -> 4.36  2022-07-11  USDC: 0.87, AQUA: 0.13
BTC / ETH                1850          2.60  3.18 -> 3.26  2022-07-11  USDC: 0.80, AQUA: 0.20
Sun Jul 10 20:27:00 WITA 2022
Pair            Profit (AQUA)    My share %  % of votes    Stop at     Paid in
------------  ---------------  ------------  ------------  ----------  ------------------------
AQUA / HEX               4777          3.29  3.76 -> 3.88  2022-07-11  yAQUA: 0.81, AQUA: 0.19
AQUA / iFIDR             4721          3.29  3.76 -> 3.88  2022-07-11  FIDR: 0.90, AQUA: 0.10
AQUA / iDRA              4464          3.11  3.98 -> 4.10  2022-07-11  FIDR: 0.90, AQUA: 0.10
AQUA / SCN               4246          5.21  2.38 -> 2.50  2022-07-11  AQUA: 1.00, SCN: 0.00
HEX / USDA               4113          2.82  2.92 -> 3.00  2022-07-11  yAQUA: 0.90, AQUA: 0.10
AQUA / GBPC              3939          2.70  4.59 -> 4.71  2022-07-11  AQUA
AQUA / yAQUA             3704          2.53  4.88 -> 5.00  2022-07-11  yAQUA: 0.90, AQUA: 0.10
AQUA / GCRX              3438          6.40  1.93 -> 2.05  2022-07-11  AQUA
XLM / BTC                2893          2.70  3.05 -> 3.13  2022-07-11  USDC: 0.87, AQUA: 0.13
ETH / USDC               2630          2.45  3.36 -> 3.44  2022-07-11  USDC: 0.87, AQUA: 0.13
XLM / SDEXEX             2450          1.04  7.96 -> 8.03  2022-07-11  SDEXEX: 0.94, AQUA: 0.06
XLM / ETH                2170          2.01  4.10 -> 4.17  2022-07-11  USDC: 0.87, AQUA: 0.13
BTC / USDC               2079          1.93  4.28 -> 4.36  2022-07-11  USDC: 0.87, AQUA: 0.13
BTC / ETH                1850          2.60  3.18 -> 3.26  2022-07-11  USDC: 0.80, AQUA: 0.20
Sun Jul 10 20:28:00 WITA 2022
Pair            Profit (AQUA)    My share %  % of votes    Stop at     Paid in
------------  ---------------  ------------  ------------  ----------  ------------------------
AQUA / HEX               4777          3.29  3.76 -> 3.88  2022-07-11  yAQUA: 0.81, AQUA: 0.19
AQUA / iFIDR             4721          3.29  3.76 -> 3.88  2022-07-11  FIDR: 0.90, AQUA: 0.10
AQUA / iDRA              4464          3.11  3.98 -> 4.10  2022-07-11  FIDR: 0.90, AQUA: 0.10
AQUA / SCN               4246          5.21  2.38 -> 2.50  2022-07-11  AQUA: 1.00, SCN: 0.00
HEX / USDA               4113          2.82  2.92 -> 3.00  2022-07-11  yAQUA: 0.90, AQUA: 0.10
AQUA / GBPC              3939          2.70  4.59 -> 4.71  2022-07-11  AQUA
AQUA / yAQUA             3704          2.53  4.88 -> 5.00  2022-07-11  yAQUA: 0.90, AQUA: 0.10
AQUA / GCRX              3438          6.40  1.93 -> 2.05  2022-07-11  AQUA
XLM / BTC                2893          2.70  3.05 -> 3.13  2022-07-11  USDC: 0.87, AQUA: 0.13
ETH / USDC               2630          2.45  3.36 -> 3.44  2022-07-11  USDC: 0.87, AQUA: 0.13
XLM / SDEXEX             2450          1.04  7.96 -> 8.03  2022-07-11  SDEXEX: 0.94, AQUA: 0.06
XLM / ETH                2170          2.01  4.10 -> 4.17  2022-07-11  USDC: 0.87, AQUA: 0.13
BTC / USDC               2079          1.93  4.28 -> 4.36  2022-07-11  USDC: 0.87, AQUA: 0.13
BTC / ETH                1850          2.60  3.18 -> 3.26  2022-07-11  USDC: 0.80, AQUA: 0.20
Sun Jul 10 20:29:00 WITA 2022
Pair            Profit (AQUA)    My share %  % of votes    Stop at     Paid in
------------  ---------------  ------------  ------------  ----------  ------------------------
AQUA / HEX               4777          3.29  3.76 -> 3.88  2022-07-11  yAQUA: 0.81, AQUA: 0.19
AQUA / iFIDR             4721          3.29  3.76 -> 3.88  2022-07-11  FIDR: 0.90, AQUA: 0.10
AQUA / iDRA              4464          3.11  3.98 -> 4.10  2022-07-11  FIDR: 0.90, AQUA: 0.10
AQUA / SCN               4246          5.21  2.38 -> 2.50  2022-07-11  AQUA: 1.00, SCN: 0.00
HEX / USDA               4113          2.82  2.92 -> 3.00  2022-07-11  yAQUA: 0.90, AQUA: 0.10
AQUA / GBPC              3939          2.70  4.59 -> 4.71  2022-07-11  AQUA
AQUA / yAQUA             3704          2.53  4.88 -> 5.00  2022-07-11  yAQUA: 0.90, AQUA: 0.10
AQUA / GCRX              3438          6.40  1.93 -> 2.05  2022-07-11  AQUA
XLM / BTC                2893          2.70  3.05 -> 3.13  2022-07-11  USDC: 0.87, AQUA: 0.13
ETH / USDC               2630          2.45  3.36 -> 3.44  2022-07-11  USDC: 0.87, AQUA: 0.13
XLM / SDEXEX             2450          1.04  7.96 -> 8.03  2022-07-11  SDEXEX: 0.94, AQUA: 0.06
XLM / ETH                2170          2.01  4.10 -> 4.17  2022-07-11  USDC: 0.87, AQUA: 0.13
BTC / USDC               2079          1.93  4.28 -> 4.36  2022-07-11  USDC: 0.87, AQUA: 0.13
BTC / ETH                1850          2.60  3.18 -> 3.26  2022-07-11  USDC: 0.80, AQUA: 0.20
Sun Jul 10 20:30:00 WITA 2022
Pair            Profit (AQUA)    My share %  % of votes    Stop at     Paid in
------------  ---------------  ------------  ------------  ----------  ------------------------
AQUA / HEX               4777          3.29  3.76 -> 3.88  2022-07-11  yAQUA: 0.81, AQUA: 0.19
AQUA / iFIDR             4721          3.29  3.76 -> 3.88  2022-07-11  FIDR: 0.90, AQUA: 0.10
AQUA / iDRA              4464          3.11  3.98 -> 4.10  2022-07-11  FIDR: 0.90, AQUA: 0.10
AQUA / SCN               4246          5.21  2.38 -> 2.50  2022-07-11  AQUA: 1.00, SCN: 0.00
HEX / USDA               4113          2.82  2.92 -> 3.00  2022-07-11  yAQUA: 0.90, AQUA: 0.10
AQUA / GBPC              3939          2.70  4.59 -> 4.71  2022-07-11  AQUA
AQUA / yAQUA             3704          2.53  4.88 -> 5.00  2022-07-11  yAQUA: 0.90, AQUA: 0.10
AQUA / GCRX              3438          6.40  1.93 -> 2.05  2022-07-11  AQUA
XLM / BTC                2893          2.70  3.05 -> 3.13  2022-07-11  USDC: 0.87, AQUA: 0.13
ETH / USDC               2630          2.45  3.36 -> 3.44  2022-07-11  USDC: 0.87, AQUA: 0.13
XLM / SDEXEX             2450          1.04  7.96 -> 8.03  2022-07-11  SDEXEX: 0.94, AQUA: 0.06
XLM / ETH                2170          2.01  4.10 -> 4.17  2022-07-11  USDC: 0.87, AQUA: 0.13
BTC / USDC               2079          1.93  4.28 -> 4.36  2022-07-11  USDC: 0.87, AQUA: 0.13
BTC / ETH                1850          2.60  3.18 -> 3.26  2022-07-11  USDC: 0.80, AQUA: 0.20
Sun Jul 10 20:31:00 WITA 2022
Pair            Profit (AQUA)    My share %  % of votes    Stop at     Paid in
